Gene_ID	Final_Annotation
1_122	Sugar fermentation stimulation protein homolog {ECO:0000255|HAMAP-Rule:MF_00095}
1_123	RNA 2',3'-cyclic phosphodiesterase {ECO:0000255|HAMAP-Rule:MF_01940, ECO:0000303|PubMed:25239919}
1_124	Putative DEAH-box ATP-dependent helicase UM11114
1_125	Penicillin-sensitive transpeptidase
1_126	Ferrioxamine receptor
1_127	Fe(3+)-citrate import ATP-binding protein YfmF
1_128	Iron(3+)-hydroxamate-binding protein FhuD {ECO:0000305}
1_129	Iron(3+)-hydroxamate import system permease protein FhuG
1_130	Glutamate-1-semialdehyde 2,1-aminomutase {ECO:0000255|HAMAP-Rule:MF_00375}
1_131	H(+)/Cl(-) exchange transporter ClcA {ECO:0000255|HAMAP-Rule:MF_01128}
1_132	Iron-sulfur cluster insertion protein ErpA {ECO:0000255|HAMAP-Rule:MF_01380}
1_133	UPF0126 membrane protein
1_134	Vitamin B12-binding protein {ECO:0000255|HAMAP-Rule:MF_01000}
1_135	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase {ECO:0000255|HAMAP-Rule:MF_01684}
1_136	Deoxyguanosinetriphosphate triphosphohydrolase {ECO:0000255|HAMAP-Rule:MF_00030}
1_137	Putative serine protease HhoA
1_138	Uncharacterized protein HI_0093
1_139	UPF0325 protein Spro_3794 {ECO:0000255|HAMAP-Rule:MF_01519}
1_140	Phosphodiesterase YaeI
1_141	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase {ECO:0000255|HAMAP-Rule:MF_00811}
1_142	[Protein-PII]-UMP uridylyl-removing enzyme {ECO:0000255|HAMAP-Rule:MF_00277}
1_143	Methionine aminopeptidase 1 {ECO:0000255|HAMAP-Rule:MF_03174}
1_144	30S ribosomal protein S2 {ECO:0000255|HAMAP-Rule:MF_00291}
1_145	Elongation factor Ts {ECO:0000255|HAMAP-Rule:MF_00050}
1_146	Uridylate kinase {ECO:0000255|HAMAP-Rule:MF_01220}
1_147	Ribosome-recycling factor {ECO:0000255|HAMAP-Rule:MF_00040}
1_148	1-deoxy-D-xylulose 5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183}
1_149	Isoprenyl transferase {ECO:0000255|HAMAP-Rule:MF_01139}
1_150	Hypothetical protein
1_151	Phosphatidate cytidylyltransferase
1_152	Putative zinc metalloprotease R01501
1_153	Outer membrane protein assembly factor BamA {ECO:0000255|HAMAP-Rule:MF_01430}
1_154	Chaperone protein Skp
1_155	UDP-3-O-acylglucosamine N-acyltransferase {ECO:0000255|HAMAP-Rule:MF_00523}
1_156	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ {ECO:0000255|HAMAP-Rule:MF_00406}
1_157	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase {ECO:0000255|HAMAP-Rule:MF_00387}
1_158	Lipid-A-disaccharide synthase {ECO:0000255|HAMAP-Rule:MF_00392}
1_159	Ribonuclease HII {ECO:0000255|HAMAP-Rule:MF_00052}
1_160	DNA polymerase III subunit alpha
1_161	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha {ECO:0000255|HAMAP-Rule:MF_00823}
1_162	Inducible ornithine decarboxylase
1_163	Uncharacterized protein YaeR
1_164	tRNA(Ile)-lysidine synthase {ECO:0000255|HAMAP-Rule:MF_01161}
1_165	Hypothetical protein
1_166	Hypothetical protein
1_167	Uncharacterized protein YaeQ
1_168	Peptidyl-tRNA hydrolase ArfB
1_169	Lipoprotein NlpE {ECO:0000303|PubMed:7635808}
1_170	Probable lipoprotein peptidase YaeF
1_171	Proline--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_01569}
1_172	NULL
1_173	Outer membrane lipoprotein RcsF {ECO:0000255|HAMAP-Rule:MF_00976}
1_174	Outer membrane lipoprotein 2
1_175	Methionine import system permease protein MetP
1_176	Methionine import ATP-binding protein MetN 1 {ECO:0000255|HAMAP-Rule:MF_01719}
1_177	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
1_178	Hypothetical protein
1_179	2,5-diketo-D-gluconic acid reductase B
1_180	Uncharacterized HTH-type transcriptional regulator YafC
1_181	UPF0294 protein VP2298 {ECO:0000255|HAMAP-Rule:MF_01119}
1_182	Uncharacterized protein YafE
1_183	Membrane-bound lytic murein transglycosylase D
1_184	Hydroxyacylglutathione hydrolase {ECO:0000255|HAMAP-Rule:MF_01374}
1_185	Uncharacterized protein YafS
1_186	Ribonuclease H {ECO:0000255|HAMAP-Rule:MF_00042}
1_187	DNA polymerase III subunit epsilon
1_188	Uncharacterized lipoprotein YafT
1_189	Uncharacterized protein YkfM
1_190	Putative inner membrane protein YafU
1_191	Omega-amidase YafV
1_192	Inhibitor of vertebrate lysozyme
1_193	Acyl-coenzyme A dehydrogenase {ECO:0000250|UniProtKB:Q8ZRJ7}
1_194	Phosphoheptose isomerase {ECO:0000255|HAMAP-Rule:MF_00067}
1_195	Putative glutamine amidotransferase HI_1037
1_196	Putative L,D-transpeptidase YafK
1_197	mRNA interferase toxin YafQ
1_198	Hypothetical protein
1_199	Probable endopeptidase YafL
1_200	REP-associated tyrosine transposase
1_201	Secretion system apparatus protein SsaV
1_202	Putative flagellar export/assembly protein LafU {ECO:0000305}
1_203	DNA polymerase IV {ECO:0000255|HAMAP-Rule:MF_01113}
1_204	Antitoxin YafN
1_205	mRNA interferase toxin YafO
1_206	Uncharacterized N-acetyltransferase YafP
1_207	Uncharacterized protein YkfJ
1_208	NULL
1_209	Cytosol non-specific dipeptidase
1_210	Xanthine-guanine phosphoribosyltransferase {ECO:0000255|HAMAP-Rule:MF_01903}
1_211	Esterase FrsA {ECO:0000255|HAMAP-Rule:MF_01063}
1_212	Sigma factor-binding protein Crl {ECO:0000255|HAMAP-Rule:MF_01178}
1_213	Putative outer membrane protein YedS
1_214	Glutamate 5-kinase {ECO:0000255|HAMAP-Rule:MF_00456}
1_215	Gamma-glutamyl phosphate reductase {ECO:0000255|HAMAP-Rule:MF_00412}
1_216	Hypothetical protein
1_217	Toxin YkfI {ECO:0000303|PubMed:14594833}
1_218	Antitoxin YfjZ {ECO:0000303|PubMed:28257056}
1_219	Hypothetical protein
1_220	UPF0758 protein YfjY
1_221	Uncharacterized protein YfjX
1_222	Hypothetical protein
1_223	Uncharacterized protein YfjT
1_224	Lipoprotein YfjS
1_225	UPF0380 protein YubP
1_226	Uncharacterized protein YfjP
1_227	Uncharacterized HTH-type transcriptional regulator y4mQ
1_228	Putative transposase InsN for insertion sequence element IS911A
1_229	Transposase for insertion sequence element IS1086
1_230	Hypothetical protein
1_231	Protein YkfC
1_232	Transposase InsH for insertion sequence element IS5Y
1_233	Hypothetical protein
1_234	General amino-acid permease GAP2
1_235	Homocysteine S-methyltransferase 3
1_236	Spermidine/putrescine import ATP-binding protein PotA 2 {ECO:0000255|HAMAP-Rule:MF_01726}
1_237	Putative ferric transport system permease-like protein AfuB
1_238	Insertion element IS1 protein InsB
1_239	Insertion element iso-IS1d protein InsA
1_240	Putative transposase YkgN
1_241	Orphan antitoxin YagB
1_242	Uncharacterized protein YagA
1_243	Probable 2-dehydro-3-deoxy-D-pentonate aldolase YjhH {ECO:0000305}
1_244	Dihydroxy-acid dehydratase {ECO:0000255|HAMAP-Rule:MF_00012}
1_245	Uncharacterized symporter YnaJ
1_246	Xylan 1,3-beta-xylosidase
1_247	Hypothetical protein
1_248	Insertion element IS150 uncharacterized 19.7 kDa protein
1_249	Putative transposase InsK for insertion sequence element IS150
1_250	HTH-type transcriptional regulator XynR {ECO:0000305}
1_251	Ornithine carbamoyltransferase {ECO:0000255|HAMAP-Rule:MF_01109}
1_252	Insertion element IS1 protein InsB
1_253	Insertion element iso-IS1d protein InsA
1_254	Protein YagJ
1_255	Uncharacterized protein YagK
1_256	Uncharacterized protein YagL
1_257	Uncharacterized protein YagM
1_258	Hypothetical protein
1_259	Uncharacterized protein YagN
1_260	Prophage integrase IntF {ECO:0000305}
1_261	Putative LysR family substrate binding domain-containing protein YagP
1_262	Molybdenum cofactor insertion chaperone PaoD {ECO:0000305}
1_263	Aldehyde oxidoreductase molybdenum-binding subunit PaoC {ECO:0000305}
1_264	Aldehyde oxidoreductase FAD-binding subunit PaoB {ECO:0000250|UniProtKB:P77324}
1_265	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA {ECO:0000250|UniProtKB:P77165}
1_266	Inner membrane protein YagU
1_267	Probable fimbrial chaperone EcpE
1_268	Fimbria adhesin EcpD
1_269	Probable outer membrane usher protein EcpC
1_270	Probable fimbrial chaperone EcpB
1_271	Common pilus major fimbrillin subunit EcpA
1_272	HTH-type transcriptional regulator EcpR
1_273	Hypothetical protein
1_274	Hypothetical protein
1_275	Hypothetical protein
1_276	Intimin
1_277	Transposase InsE for insertion sequence IS3
1_278	Transposase InsF for insertion sequence IS3fB
1_279	Putative HTH-type transcriptional regulator YkgA
1_280	Inner membrane protein RclC
1_281	Mercuric reductase
1_282	RCS-specific HTH-type transcriptional activator RclR
1_283	Lactate utilization protein A 2 {ECO:0000255|HAMAP-Rule:MF_02105}
1_284	Lactate utilization protein B {ECO:0000255|HAMAP-Rule:MF_02103}
1_285	Uncharacterized protein YkgG
1_286	Uncharacterized protein YkgH
1_287	Oxygen-dependent choline dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00750}
1_288	Betaine aldehyde dehydrogenase {ECO:0000255|HAMAP-Rule:MF_00804}
1_289	HTH-type transcriptional regulator BetI {ECO:0000255|HAMAP-Rule:MF_00768}
1_290	Glycine betaine transporter BetP {ECO:0000305}
1_291	Probable cyclic di-GMP phosphodiesterase PdeG {ECO:0000305}
1_292	Uncharacterized HTH-type transcriptional regulator YahB
1_293	Uncharacterized protein YahC
1_294	Putative ankyrin repeat protein YahD
1_295	Uncharacterized protein YahE
1_296	Protein FdrA
1_297	Uncharacterized protein YahG
1_298	Uncharacterized protein YaiL
1_299	S-formylglutathione hydrolase
1_300	All-trans-retinol dehydrogenase [NAD(+)] ADH4 {ECO:0000250|UniProtKB:P08319}
1_301	Hypothetical protein
1_302	Outer membrane protein YaiO
1_303	Uncharacterized acetyltransferase YaiX
1_304	Insertion element IS2A uncharacterized 48.2 kDa protein
1_305	Putative transposase InsD for insertion element IS2E
1_306	Uncharacterized glycosyltransferase YaiP
1_307	Uncharacterized deacetylase YaiS
1_308	Taurine-binding periplasmic protein
1_309	Taurine import ATP-binding protein TauB {ECO:0000255|HAMAP-Rule:MF_01714}
1_310	Taurine transport system permease protein TauC
1_311	Alpha-ketoglutarate-dependent taurine dioxygenase {ECO:0000303|PubMed:22221834}
1_312	Delta-aminolevulinic acid dehydratase
1_313	Uncharacterized protein YaiT
1_314	Transposase InsF for insertion sequence IS3fB
1_315	Transposase InsE for insertion sequence IS3
1_316	Uncharacterized protein YaiT
1_317	Inhibitor of hydrogen peroxide resistance {ECO:0000255|HAMAP-Rule:MF_02072, ECO:0000303|PubMed:27246569}
1_318	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
1_319	Hypothetical protein
1_320	Bacteroid development protein BacA
1_321	Uncharacterized protein YaiW
1_322	Inner membrane protein YaiY
1_323	Hypothetical protein
1_324	D-alanine--D-alanine ligase {ECO:0000255|HAMAP-Rule:MF_00047}
1_325	Hypothetical protein
1_326	Streptomycin-6-phosphate phosphatase
1_327	Phosphate starvation-inducible protein PsiF
1_328	Probable diguanylate cyclase DgcC {ECO:0000305}
1_329	Pyrroline-5-carboxylate reductase {ECO:0000255|HAMAP-Rule:MF_01925}
1_330	UPF0178 protein YPA_2221 {ECO:0000255|HAMAP-Rule:MF_00489}
1_331	Shikimate kinase 2 {ECO:0000255|HAMAP-Rule:MF_01269}
1_332	Hypothetical protein
1_333	Protein AroM
1_334	Pyrimidine/purine nucleoside phosphorylase {ECO:0000255|HAMAP-Rule:MF_01537}
1_335	Hypothetical protein
1_336	Recombination-associated protein RdgC {ECO:0000255|HAMAP-Rule:MF_00194}
1_337	N-acetyl-D-glucosamine kinase {ECO:0000255|HAMAP-Rule:MF_01271}
1_338	Putative transporter AraJ
1_339	Nuclease SbcCD subunit C
1_340	Nuclease SbcCD subunit D
1_341	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
1_342	Phosphate regulon sensor protein PhoR
1_343	Putative branched-chain amino acid carrier protein MW1297
1_344	L-asparagine permease 1
1_345	Neopullulanase 2
1_346	Acyl carrier protein phosphodiesterase {ECO:0000255|HAMAP-Rule:MF_01950}
1_347	S-adenosylmethionine:tRNA ribosyltransferase-isomerase {ECO:0000255|HAMAP-Rule:MF_00113}
1_348	Queuine tRNA-ribosyltransferase {ECO:0000255|HAMAP-Rule:MF_00168}
1_349	Sec translocon accessory complex subunit YajC
1_350	Protein translocase subunit SecD {ECO:0000255|HAMAP-Rule:MF_01463}
1_351	Protein translocase subunit SecF
1_352	Putative HNH nuclease YajD
1_353	Nucleoside-specific channel-forming protein Tsx {ECO:0000250|UniProtKB:P0A927}
1_354	Uncharacterized lipoprotein YajI
1_355	Transcriptional repressor NrdR {ECO:0000255|HAMAP-Rule:MF_00440}
1_356	5-amino-6-(5-phosphoribosylamino)uracil reductase
1_357	6,7-dimethyl-8-ribityllumazine synthase {ECO:0000255|HAMAP-Rule:MF_00178}
1_358	Transcription antitermination protein NusB {ECO:0000255|HAMAP-Rule:MF_00073}
1_359	Thiamine-monophosphate kinase {ECO:0000255|HAMAP-Rule:MF_02128}
1_360	Phosphatidylglycerophosphatase A
1_361	Aldo-keto reductase MYCFIDRAFT_87468 {ECO:0000303|PubMed:30735556}
1_362	1-deoxy-D-xylulose-5-phosphate synthase {ECO:0000255|HAMAP-Rule:MF_00315}
1_363	Farnesyl diphosphate synthase
1_364	Hypothetical protein
1_365	tRNA sulfurtransferase {ECO:0000255|HAMAP-Rule:MF_00021}
1_366	Protein/nucleic acid deglycase YajL {ECO:0000250|UniProtKB:Q46948}
1_367	2-dehydropantoate 2-reductase {ECO:0000250|UniProtKB:P0A9J4}
1_368	UPF0234 protein YpAngola_A3067 {ECO:0000255|HAMAP-Rule:MF_00632}
1_369	Uncharacterized transporter bbp_411
1_370	Protoheme IX farnesyltransferase 2 {ECO:0000255|HAMAP-Rule:MF_00154}
1_371	Cytochrome bo(3) ubiquinol oxidase subunit 4
1_372	Cytochrome bo(3) ubiquinol oxidase subunit 3
1_373	Probable quinol oxidase subunit 1
1_374	Cytochrome bo(3) ubiquinol oxidase subunit 2
1_375	NULL
1_376	Uncharacterized lipoprotein YajG
1_377	DNA-binding transcriptional regulator BolA {ECO:0000250|UniProtKB:P0ABE2}
1_378	Trigger factor {ECO:0000255|HAMAP-Rule:MF_00303}
1_379	ATP-dependent Clp protease proteolytic subunit {ECO:0000255|HAMAP-Rule:MF_00444}
1_380	ATP-dependent Clp protease ATP-binding subunit ClpX {ECO:0000255|HAMAP-Rule:MF_00175}
1_381	Lon protease {ECO:0000255|HAMAP-Rule:MF_01973}
1_382	Hypothetical protein
1_383	Periplasmic chaperone PpiD {ECO:0000250|UniProtKB:P0ADY1}
1_384	Uncharacterized protein YbaV
1_385	Long-chain acyl-CoA thioesterase FadM
1_386	7-cyano-7-deazaguanine synthase
1_387	Uncharacterized protein YbaE
1_388	HMP-PP phosphatase {ECO:0000255|HAMAP-Rule:MF_01847}
1_389	DNA-binding transcriptional activator DecR
1_390	ATP-dependent lipid A-core flippase {ECO:0000255|HAMAP-Rule:MF_01703}
1_391	ATP-dependent lipid A-core flippase {ECO:0000255|HAMAP-Rule:MF_01703}
1_392	Nitrogen regulatory protein GlnK {ECO:0000250|UniProtKB:P0AC55}
1_393	Ammonium transporter 2
1_394	Acyl-CoA thioesterase 2
1_395	Uncharacterized lipoprotein YbaY
1_396	DNA base-flipping protein {ECO:0000250|UniProtKB:P0AFP2}
1_397	Uncharacterized protein YbaA
1_398	Probable cyclic di-GMP phosphodiesterase PdeC {ECO:0000305}
1_399	Inner membrane protein YlaC
1_400	Putative acetyltransferase DDB_G0275913
1_401	Hypothetical protein
1_402	Hha toxicity modulator TomB
1_403	Multidrug resistance protein MdtB {ECO:0000255|HAMAP-Rule:MF_01423}
1_404	Membrane fusion protein MtrC
1_405	HTH-type transcriptional regulator AcrR
1_406	Miniconductance mechanosensitive channel MscM
1_407	Hypothetical protein
1_408	Primosomal replication protein N''
1_409	Inner membrane protein YbaN
1_410	Adenine phosphoribosyltransferase {ECO:0000255|HAMAP-Rule:MF_00004}
1_411	DNA polymerase III subunit gamma/tau
1_412	Nucleoid-associated protein ECA1177 {ECO:0000255|HAMAP-Rule:MF_00274}
1_413	Recombination protein RecR {ECO:0000255|HAMAP-Rule:MF_00017}
1_414	Chaperone protein HtpG {ECO:0000255|HAMAP-Rule:MF_00505}
1_415	Adenylate kinase {ECO:0000255|HAMAP-Rule:MF_00235}
1_416	Ferrochelatase {ECO:0000255|HAMAP-Rule:MF_00323}
1_417	Acetyl esterase {ECO:0000255|HAMAP-Rule:MF_01958}
1_418	Guanosine-inosine kinase {ECO:0000255|HAMAP-Rule:MF_02246}
1_419	Uncharacterized protein in phaC 3'region
1_420	Uncharacterized MFS-type transporter YfnC
1_421	Mannosylglucosyl-3-phosphoglycerate phosphatase {ECO:0000303|PubMed:20061481}
1_422	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
1_423	Uncharacterized protein YbaP
1_424	Uncharacterized HTH-type transcriptional regulator YbaQ
1_425	Copper-exporting P-type ATPase
1_426	Glutaminase {ECO:0000255|HAMAP-Rule:MF_00313}
1_427	Inner membrane transport protein YbaT
1_428	HTH-type transcriptional regulator CueR
1_429	Inner membrane protein YbbJ
1_430	Uncharacterized protein slr1128
1_431	Probable iron export ATP-binding protein FetA
1_432	Probable iron export permease protein FetB
1_433	Uncharacterized protein HI_1159
1_434	Uncharacterized oxidoreductase YbbO
1_435	Arylesterase
1_436	Lipoprotein-releasing system ATP-binding protein LolD {ECO:0000255|HAMAP-Rule:MF_01708}
1_437	Uncharacterized ABC transporter permease YbbP
1_438	Toxin protein Tse5 {ECO:0000303|PubMed:24794869}
1_439	Uncharacterized protein YbbC
1_440	Putative uncharacterized protein YlbH
1_441	Hypothetical protein
1_442	Uncharacterized protein YlbG
1_443	tRNA 2-selenouridine synthase {ECO:0000255|HAMAP-Rule:MF_01622}
1_444	HTH-type transcriptional activator AllS
1_445	Ureidoglycolate lyase {ECO:0000255|HAMAP-Rule:MF_00616}
1_446	Transcriptional repressor IclR {ECO:0000305}
1_447	Acetolactate synthase large subunit
1_448	2-oxo-tetronate isomerase {ECO:0000303|PubMed:27402745}
1_449	Uncharacterized oxidoreductase YkwC
1_450	Probable allantoin permease
1_451	Allantoinase
1_452	Putative purine permease YbbY
1_453	Glycerate kinase
1_454	(S)-ureidoglycine aminohydrolase {ECO:0000303|PubMed:20038185}
1_455	Allantoate amidohydrolase {ECO:0000303|PubMed:11344136}
1_456	Uncharacterized oxidoreductase YjmC
1_457	Uncharacterized protein YahF
1_458	Uncharacterized protein YahG
1_459	Uncharacterized protein YlbF
1_460	Carbamate kinase
1_461	N5-carboxyaminoimidazole ribonucleotide synthase {ECO:0000255|HAMAP-Rule:MF_01928}
1_462	Phosphoribosylaminoimidazole carboxylase
1_463	UDP-2,3-diacylglucosamine hydrolase {ECO:0000255|HAMAP-Rule:MF_00575}
1_464	Peptidyl-prolyl cis-trans isomerase
1_465	Cysteine--tRNA ligase {ECO:0000255|HAMAP-Rule:MF_00041}
1_466	Inner membrane protein YbcI
1_467	Hypothetical protein
1_468	Methenyltetrahydrofolate cyclohydrolase {ECO:0000255|HAMAP-Rule:MF_01576}
